parkID,parkName,latitude,longitude,phoneNumber,email
117176138466799105678928967410468325422,Alcatraz Island,37.82676234,-122.4230206,415-561-4900,goga_alca_socialmedia@nps.gov
174602869089802889952020155331435331391,Butterfield Overland National Historic Trail,32.2768237589,-106.796583304,N/A,ntir_information@nps.gov
132761801598110183245114822286430520498,Cabrillo National Monument,32.6722503,-117.2415985,6195234285,cabr_info@nps.gov
63564964015579606289195042337884907646,California National Historic Trail,42.3999643979,-108.702415369,N/A,ntir_information@nps.gov
190208595853440572226723402572623250918,Castle Mountains National Monument,35.29156348,-115.0935606,7602526100,MOJA_Superintendent@nps.gov
254030465364145159604006019239020852559,Channel Islands National Park,33.98680093,-119.9112735,8056585730,chis_information@nps.gov
28788570184580699900079617973461172018,César E. Chávez National Monument,35.22729389,-118.5615781,6618236134,cech_education@nps.gov
262026914567178156954538414570092228118,Death Valley National Park,36.48753731,-117.134395,7607863200,deva_information@nps.gov
297606740645482505434347613129371029860,Devils Postpile National Monument,37.6152564,-119.0873903,7609342289,depo_visitor_information@nps.gov
218785581656723812669884947685460971843,Eugene O'Neill National Historic Site,37.82604456,-122.0271566,925-228-8860,euon_general_info@nps.gov
279091766420925059314887090785097365213,Fort Point National Historic Site,37.80837439,-122.473747,415-561-4959,goga_fopo_socialmedia@nps.gov
111047861944327978906645845053344277357,Golden Gate National Recreation Area,37.85982543,-122.6007386,415-561-4700,goga_socialmedia_goga@nps.gov
18374363561760718248921670661143709406,John Muir National Historic Site,37.9828422,-122.1326097,9252288860,jomu_general_info@nps.gov
160528203853481701436261609984617238589,Joshua Tree National Park,33.91418525,-115.8398125,7603675500,jotr_info@nps.gov
135033996168844892712648124643981904601,Juan Bautista de Anza National Historic Trail,33.8743390994,-117.224179857,(510) 232-5050,juba_info@nps.gov
213774577223972753441686778882133714860,Lassen Volcanic National Park,40.49354575,-121.4075993,530 595 6100,lavo_information@nps.gov
116482052789286731773390696854990059866,Lava Beds National Monument,41.75915823,-121.5172189,5306678113,LABE_Information@nps.gov
125243457804376353690203827461753591408,Manzanar National Historic Site,36.72559195,-118.1547177,(760)878-2194,manz_information_request@nps.gov
266735731449823990360363590487329189453,Mojave National Preserve,35.12485941,-115.5168258,(760) 252-6100,moja_info@nps.gov
166841569932877318082305493032546576694,Muir Woods National Monument,37.89658027,-122.5808047,415-561-2850,goga_muwo_socialmedia@nps.gov
331832835042811138907737855784930703474,Old Spanish National Historic Trail,37.0791782514,-112.114693431,N/A,ntir_information@nps.gov
108034843037242285132738101466037086529,Pinnacles National Park,36.49029208,-121.1813607,8313894486,pinn_visitor_information@nps.gov
77152557110830605845129102395516692323,Point Reyes National Seashore,38.05511241,-122.8797804,415-464-5100,pore_info@nps.gov
216854176548216646097815022515590820340,Pony Express National Historic Trail,42.2365761128,-109.266148417,N/A,ntir_information@nps.gov
116483199713286860638199814240494499125,Port Chicago Naval Magazine National Memorial,38.05685472,-122.0301603,9252288860,poch_general_info@nps.gov
135564459226225673511149323091999533522,Presidio of San Francisco,37.797,-122.4671,415-561-4323,goga_pres_socialmedia@nps.gov
113311005935325452851932077703829221342,Redwood National and State Parks,41.37237268,-124.0318129,7074646101,redw_info@nps.gov
274605594606471275975587292331239278678,Rosie the Riveter WWII Home Front National Historical Park,37.90999027,-122.360156,5102325050,rori_gen_info@nps.gov
329254693231126287221914957133117185399,San Francisco Maritime National Historical Park,37.81005871,-122.4244415,4155617000,ronald_robles@nps.gov
336905286501664652979688367994969328165,Santa Monica Mountains National Recreation Area,34.09777606,-118.7708619,8053702301,samo_interpretation@nps.gov
69753251057468900584943659916091388199,Sequoia & Kings Canyon National Parks,36.71277299,-118.587429,5595653341,SEKI_information@nps.gov
305423687652942176916826432543338272066,Tule Lake National Monument,41.88727902,-121.3744818,(530) 664 4015,TULE_Information@nps.gov
329720267905849894590044729396625581944,Whiskeytown National Recreation Area,40.61359941,-122.6022657,5302423400,whis_information@nps.gov
221043574425038732648108316661863470032,Yosemite National Park,37.84883288,-119.5571873,209/372-0200,yose_web_manager@nps.gov
